,degree_all,degree_centrality_all,degree_in,degree_centrality_in,degree_out,degree_centrality_out,betweenness_centrality,eigenvector_centrality,cluster
Zfp318,37,0.0686456400742115,37,0.0686456400742115,0,0.0,0.0,0.03486773372465281,LPS_D03_MoM
Slc40a1,19,0.03525046382189239,19,0.03525046382189239,0,0.0,0.0,0.0196236495773225,LPS_D03_MoM
Irf4,31,0.0575139146567718,9,0.016697588126159554,22,0.04081632653061224,1158.0,0.012729896023964788,LPS_D03_MoM
Nfxl1,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.01817737468659912,LPS_D03_MoM
Mysm1,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.01922501358719327,LPS_D03_MoM
Hspa1a,32,0.059369202226345084,32,0.059369202226345084,0,0.0,0.0,0.027137892999180485,LPS_D03_MoM
Tsc22d1,27,0.05009276437847866,27,0.05009276437847866,0,0.0,0.0,0.019230320217614238,LPS_D03_MoM
Hist1h3b,4,0.0074211502782931356,4,0.0074211502782931356,0,0.0,0.0,0.004648425693070629,LPS_D03_MoM
Hist1h1d,8,0.014842300556586271,8,0.014842300556586271,0,0.0,0.0,0.005825632899667277,LPS_D03_MoM
Rbck1,26,0.04823747680890538,26,0.04823747680890538,0,0.0,0.0,0.018121729879461066,LPS_D03_MoM
Zfp410,9,0.016697588126159554,8,0.014842300556586271,1,0.0018552875695732839,0.0,0.006943372689908789,LPS_D03_MoM
Zfp260,10,0.01855287569573284,10,0.01855287569573284,0,0.0,0.0,0.010964769848285517,LPS_D03_MoM
Bpgm,7,0.012987012987012988,7,0.012987012987012988,0,0.0,0.0,0.0062289054095552585,LPS_D03_MoM
Zfp942,5,0.00927643784786642,5,0.00927643784786642,0,0.0,0.0,0.011411526422373856,LPS_D03_MoM
Zfp407,23,0.04267161410018553,23,0.04267161410018553,0,0.0,0.0,0.019098181645119363,LPS_D03_MoM
Tfam,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.01995526149438611,LPS_D03_MoM
Zfp84,10,0.01855287569573284,10,0.01855287569573284,0,0.0,0.0,0.004958701654880076,LPS_D03_MoM
Cic,32,0.059369202226345084,32,0.059369202226345084,0,0.0,0.0,0.01996943459173758,LPS_D03_MoM
Zfp212,11,0.02040816326530612,11,0.02040816326530612,0,0.0,0.0,0.012594828644255356,LPS_D03_MoM
Zfp787,21,0.03896103896103896,21,0.03896103896103896,0,0.0,0.0,0.023534695316078578,LPS_D03_MoM
Zfp131,18,0.03339517625231911,18,0.03339517625231911,0,0.0,0.0,0.020242157241115246,LPS_D03_MoM
Zbtb2,7,0.012987012987012988,7,0.012987012987012988,0,0.0,0.0,0.008724635993970506,LPS_D03_MoM
Terf2,14,0.025974025974025976,14,0.025974025974025976,0,0.0,0.0,0.013406006012606391,LPS_D03_MoM
Zfp62,16,0.029684601113172542,16,0.029684601113172542,0,0.0,0.0,0.00836154419076505,LPS_D03_MoM
Hist1h2an,6,0.011131725417439703,6,0.011131725417439703,0,0.0,0.0,0.007874312917951617,LPS_D03_MoM
Zfp771,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.014866260859484256,LPS_D03_MoM
Ciz1,24,0.04452690166975881,24,0.04452690166975881,0,0.0,0.0,0.016458561151984276,LPS_D03_MoM
Zbtb11,20,0.03710575139146568,20,0.03710575139146568,0,0.0,0.0,0.009646651720609013,LPS_D03_MoM
Ebf1,11,0.02040816326530612,0,0.0,11,0.02040816326530612,0.0,0.004652108739772944,LPS_D03_MoM
Zfp24,7,0.012987012987012988,7,0.012987012987012988,0,0.0,0.0,0.010609327174357966,LPS_D03_MoM
Rcor3,22,0.04081632653061224,22,0.04081632653061224,0,0.0,0.0,0.012782824505457703,LPS_D03_MoM
Zic5,2,0.0037105751391465678,0,0.0,2,0.0037105751391465678,0.0,0.005639357853412876,LPS_D03_MoM
